
TRAIN: 360040 sources x 4 variants = 1440160 samples
  categories: 20  sources/category: [18002]
  real sources: 180020   fake sources: 180020
  per category/label, each of clean|blur|jpeg|noise gets exactly 9001 samples
  severity levels (index 0/1/2) over all sources: 120040 / 120000 / 120000
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]

VAL: 8000 sources x 4 variants = 32000 samples
  categories: 20  sources/category: [400]
  real sources: 4000   fake sources: 4000
  per category/label, each of clean|blur|jpeg|noise gets exactly 200 samples
  severity levels (index 0/1/2) over all sources: 2680 / 2680 / 2640
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]
  epoch 10 step 200  loss=0.1092  (101s)
  epoch 10 step 400  loss=0.1091  (195s)
  epoch 10 step 600  loss=0.1085  (287s)
  epoch 10 step 800  loss=0.1083  (385s)
  epoch 10 step 1000  loss=0.1086  (480s)
  epoch 10 step 1200  loss=0.1084  (577s)
  epoch 10 step 1400  loss=0.1086  (672s)
  epoch 10 step 1600  loss=0.1083  (768s)
  epoch 10 step 1800  loss=0.1083  (861s)
  epoch 10 step 2000  loss=0.1083  (958s)
  epoch 10 step 2200  loss=0.1082  (1054s)
  epoch 10 step 2400  loss=0.1081  (1160s)
  epoch 10 step 2600  loss=0.1081  (1256s)
  epoch 10 step 2800  loss=0.1081  (1353s)
  epoch 10 step 3000  loss=0.1080  (1450s)
  epoch 10 step 3200  loss=0.1080  (1549s)
  epoch 10 step 3400  loss=0.1079  (1652s)
  epoch 10 step 3600  loss=0.1079  (1750s)
  epoch 10 step 3800  loss=0.1079  (1846s)
  epoch 10 step 4000  loss=0.1079  (1942s)
  epoch 10 step 4200  loss=0.1080  (2038s)
  epoch 10 step 4400  loss=0.1079  (2133s)
  epoch 10 step 4600  loss=0.1079  (2233s)
  epoch 10 step 4800  loss=0.1078  (2336s)
  epoch 10 step 5000  loss=0.1078  (2450s)
  epoch 10 step 5200  loss=0.1078  (2564s)
  epoch 10 step 5400  loss=0.1078  (2664s)
  epoch 10 step 5600  loss=0.1078  (2762s)
  epoch 10 step 5800  loss=0.1078  (2868s)
  epoch 10 step 6000  loss=0.1077  (2972s)
  epoch 10 step 6200  loss=0.1077  (3074s)
  epoch 10 step 6400  loss=0.1076  (3178s)
  epoch 10 step 6600  loss=0.1076  (3300s)
  epoch 10 step 6800  loss=0.1076  (3402s)
  epoch 10 step 7000  loss=0.1075  (3503s)
  epoch 10 step 7200  loss=0.1075  (3620s)
  epoch 10 step 7400  loss=0.1075  (3728s)
  epoch 10 step 7600  loss=0.1074  (3833s)
  epoch 10 step 7800  loss=0.1074  (3938s)
  epoch 10 step 8000  loss=0.1074  (4045s)
  epoch 10 step 8200  loss=0.1074  (4152s)
  epoch 10 step 8400  loss=0.1074  (4260s)
  epoch 10 step 8600  loss=0.1075  (4367s)
  epoch 10 step 8800  loss=0.1075  (4474s)
  epoch 10 step 9000  loss=0.1074  (4577s)
  epoch 10 step 9200  loss=0.1074  (4681s)
  epoch 10 step 9400  loss=0.1074  (4783s)
  epoch 10 step 9600  loss=0.1073  (4885s)
  epoch 10 step 9800  loss=0.1073  (4979s)
  epoch 10 step 10000  loss=0.1074  (5086s)
  epoch 10 step 10200  loss=0.1074  (5182s)
  epoch 10 step 10400  loss=0.1074  (5301s)
  epoch 10 step 10600  loss=0.1073  (5397s)
  epoch 10 step 10800  loss=0.1073  (5494s)
  epoch 10 step 11000  loss=0.1073  (5589s)
  epoch 10 step 11200  loss=0.1073  (5686s)
  epoch 10 step 11400  loss=0.1073  (5784s)
  epoch 10 step 11600  loss=0.1073  (5878s)
  epoch 10 step 11800  loss=0.1073  (5977s)
  epoch 10 step 12000  loss=0.1073  (6072s)
  epoch 10 step 12200  loss=0.1073  (6172s)
  epoch 10 step 12400  loss=0.1073  (6270s)
  epoch 10 step 12600  loss=0.1073  (6369s)
  epoch 10 step 12800  loss=0.1073  (6467s)
  epoch 10 step 13000  loss=0.1073  (6571s)
  epoch 10 step 13200  loss=0.1073  (6671s)
  epoch 10 step 13400  loss=0.1073  (6774s)
  epoch 10 step 13600  loss=0.1073  (6879s)
  epoch 10 step 13800  loss=0.1073  (6980s)
  epoch 10 step 14000  loss=0.1073  (7080s)
  epoch 10 step 14200  loss=0.1073  (7178s)
  epoch 10 step 14400  loss=0.1073  (7274s)
  epoch 10 step 14600  loss=0.1073  (7369s)
  epoch 10 step 14800  loss=0.1073  (7464s)
  epoch 10 step 15000  loss=0.1073  (7557s)
  epoch 10 step 15200  loss=0.1073  (7653s)
  epoch 10 step 15400  loss=0.1073  (7745s)
  epoch 10 step 15600  loss=0.1073  (7853s)
  epoch 10 step 15800  loss=0.1073  (7950s)
  epoch 10 step 16000  loss=0.1073  (8045s)
  epoch 10 step 16200  loss=0.1073  (8142s)
  epoch 10 step 16400  loss=0.1073  (8234s)
  epoch 10 step 16600  loss=0.1073  (8326s)
  epoch 10 step 16800  loss=0.1073  (8421s)
  epoch 10 step 17000  loss=0.1073  (8517s)
  epoch 10 step 17200  loss=0.1073  (8615s)
  epoch 10 step 17400  loss=0.1073  (8711s)
  epoch 10 step 17600  loss=0.1073  (8808s)
  epoch 10 step 17800  loss=0.1073  (8908s)
  epoch 10 step 18000  loss=0.1073  (9008s)
  epoch 10 step 18200  loss=0.1073  (9110s)
  epoch 10 step 18400  loss=0.1074  (9212s)
  epoch 10 step 18600  loss=0.1074  (9316s)
  epoch 10 step 18800  loss=0.1074  (9421s)
  epoch 10 step 19000  loss=0.1074  (9520s)
  epoch 10 step 19200  loss=0.1074  (9624s)
  epoch 10 step 19400  loss=0.1074  (9727s)
  epoch 10 step 19600  loss=0.1074  (9831s)
  epoch 10 step 19800  loss=0.1074  (9936s)
  epoch 10 step 20000  loss=0.1074  (10042s)
  epoch 10 step 20200  loss=0.1073  (10143s)
  epoch 10 step 20400  loss=0.1073  (10247s)
  epoch 10 step 20600  loss=0.1073  (10352s)
  epoch 10 step 20800  loss=0.1073  (10455s)
  epoch 10 step 21000  loss=0.1073  (10560s)
  epoch 10 step 21200  loss=0.1073  (10665s)
  epoch 10 step 21400  loss=0.1073  (10773s)
  epoch 10 step 21600  loss=0.1073  (10879s)
  epoch 10 step 21800  loss=0.1073  (10985s)
  epoch 10 step 22000  loss=0.1073  (11090s)
  epoch 10 step 22200  loss=0.1073  (11201s)
  epoch 10 step 22400  loss=0.1073  (11318s)
[epoch 10] loss=0.1073 lr=1.00e-05 train=11374s
      ai: acc=0.7789 ap=0.8849  blur: acc=0.9963 ap=0.9996  jpeg: acc=0.9996 ap=1.0000  noise: acc=0.9998 ap=1.0000
