
TRAIN: 360040 sources x 4 variants = 1440160 samples
  categories: 20  sources/category: [18002]
  real sources: 180020   fake sources: 180020
  per category/label, each of clean|blur|jpeg|noise gets exactly 9001 samples
  severity levels (index 0/1/2) over all sources: 120040 / 120000 / 120000
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]

VAL: 8000 sources x 4 variants = 32000 samples
  categories: 20  sources/category: [400]
  real sources: 4000   fake sources: 4000
  per category/label, each of clean|blur|jpeg|noise gets exactly 200 samples
  severity levels (index 0/1/2) over all sources: 2680 / 2680 / 2640
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]
  epoch 0 step 200  loss=0.3666  (95s)
  epoch 0 step 400  loss=0.3194  (188s)
  epoch 0 step 600  loss=0.2943  (276s)
  epoch 0 step 800  loss=0.2782  (365s)
  epoch 0 step 1000  loss=0.2669  (452s)
  epoch 0 step 1200  loss=0.2576  (537s)
  epoch 0 step 1400  loss=0.2500  (617s)
  epoch 0 step 1600  loss=0.2440  (698s)
  epoch 0 step 1800  loss=0.2391  (778s)
  epoch 0 step 2000  loss=0.2346  (857s)
  epoch 0 step 2200  loss=0.2308  (932s)
  epoch 0 step 2400  loss=0.2272  (1009s)
  epoch 0 step 2600  loss=0.2240  (1079s)
  epoch 0 step 2800  loss=0.2210  (1148s)
  epoch 0 step 3000  loss=0.2184  (1213s)
  epoch 0 step 3200  loss=0.2160  (1282s)
  epoch 0 step 3400  loss=0.2138  (1346s)
  epoch 0 step 3600  loss=0.2118  (1408s)
  epoch 0 step 3800  loss=0.2100  (1468s)
  epoch 0 step 4000  loss=0.2083  (1527s)
  epoch 0 step 4200  loss=0.2067  (1587s)
  epoch 0 step 4400  loss=0.2052  (1644s)
  epoch 0 step 4600  loss=0.2038  (1701s)
  epoch 0 step 4800  loss=0.2024  (1756s)
  epoch 0 step 5000  loss=0.2009  (1808s)
  epoch 0 step 5200  loss=0.1998  (1861s)
  epoch 0 step 5400  loss=0.1986  (1913s)
  epoch 0 step 5600  loss=0.1975  (1962s)
  epoch 0 step 5800  loss=0.1964  (2013s)
  epoch 0 step 6000  loss=0.1953  (2059s)
  epoch 0 step 6200  loss=0.1943  (2106s)
  epoch 0 step 6400  loss=0.1934  (2149s)
  epoch 0 step 6600  loss=0.1925  (2195s)
  epoch 0 step 6800  loss=0.1916  (2239s)
  epoch 0 step 7000  loss=0.1908  (2281s)
  epoch 0 step 7200  loss=0.1900  (2322s)
  epoch 0 step 7400  loss=0.1892  (2364s)
  epoch 0 step 7600  loss=0.1884  (2402s)
  epoch 0 step 7800  loss=0.1877  (2441s)
  epoch 0 step 8000  loss=0.1870  (2480s)
  epoch 0 step 8200  loss=0.1863  (2519s)
  epoch 0 step 8400  loss=0.1856  (2555s)
  epoch 0 step 8600  loss=0.1850  (2589s)
  epoch 0 step 8800  loss=0.1844  (2622s)
  epoch 0 step 9000  loss=0.1838  (2659s)
  epoch 0 step 9200  loss=0.1832  (2694s)
  epoch 0 step 9400  loss=0.1826  (2728s)
  epoch 0 step 9600  loss=0.1821  (2762s)
  epoch 0 step 9800  loss=0.1816  (2797s)
  epoch 0 step 10000  loss=0.1810  (2831s)
  epoch 0 step 10200  loss=0.1806  (2864s)
  epoch 0 step 10400  loss=0.1801  (2898s)
  epoch 0 step 10600  loss=0.1796  (2930s)
  epoch 0 step 10800  loss=0.1791  (2961s)
  epoch 0 step 11000  loss=0.1787  (2995s)
  epoch 0 step 11200  loss=0.1783  (3028s)
  epoch 0 step 11400  loss=0.1778  (3060s)
  epoch 0 step 11600  loss=0.1774  (3095s)
  epoch 0 step 11800  loss=0.1770  (3126s)
  epoch 0 step 12000  loss=0.1766  (3158s)
  epoch 0 step 12200  loss=0.1762  (3192s)
  epoch 0 step 12400  loss=0.1758  (3224s)
  epoch 0 step 12600  loss=0.1754  (3258s)
  epoch 0 step 12800  loss=0.1751  (3292s)
  epoch 0 step 13000  loss=0.1747  (3326s)
  epoch 0 step 13200  loss=0.1743  (3358s)
  epoch 0 step 13400  loss=0.1740  (3391s)
  epoch 0 step 13600  loss=0.1737  (3424s)
  epoch 0 step 13800  loss=0.1734  (3458s)
  epoch 0 step 14000  loss=0.1731  (3493s)
  epoch 0 step 14200  loss=0.1727  (3526s)
  epoch 0 step 14400  loss=0.1724  (3560s)
  epoch 0 step 14600  loss=0.1721  (3594s)
  epoch 0 step 14800  loss=0.1718  (3628s)
  epoch 0 step 15000  loss=0.1715  (3663s)
  epoch 0 step 15200  loss=0.1712  (3698s)
  epoch 0 step 15400  loss=0.1709  (3733s)
  epoch 0 step 15600  loss=0.1706  (3770s)
  epoch 0 step 15800  loss=0.1703  (3807s)
  epoch 0 step 16000  loss=0.1700  (3844s)
  epoch 0 step 16200  loss=0.1698  (3884s)
  epoch 0 step 16400  loss=0.1695  (3924s)
  epoch 0 step 16600  loss=0.1692  (3961s)
  epoch 0 step 16800  loss=0.1689  (4001s)
  epoch 0 step 17000  loss=0.1687  (4040s)
  epoch 0 step 17200  loss=0.1684  (4083s)
  epoch 0 step 17400  loss=0.1682  (4123s)
  epoch 0 step 17600  loss=0.1680  (4165s)
  epoch 0 step 17800  loss=0.1677  (4212s)
  epoch 0 step 18000  loss=0.1675  (4259s)
  epoch 0 step 18200  loss=0.1673  (4306s)
  epoch 0 step 18400  loss=0.1670  (4351s)
  epoch 0 step 18600  loss=0.1668  (4399s)
  epoch 0 step 18800  loss=0.1666  (4447s)
  epoch 0 step 19000  loss=0.1664  (4495s)
  epoch 0 step 19200  loss=0.1662  (4541s)
  epoch 0 step 19400  loss=0.1659  (4588s)
  epoch 0 step 19600  loss=0.1657  (4633s)
  epoch 0 step 19800  loss=0.1655  (4676s)
  epoch 0 step 20000  loss=0.1653  (4721s)
  epoch 0 step 20200  loss=0.1651  (4762s)
  epoch 0 step 20400  loss=0.1649  (4803s)
  epoch 0 step 20600  loss=0.1646  (4844s)
  epoch 0 step 20800  loss=0.1645  (4884s)
  epoch 0 step 21000  loss=0.1643  (4922s)
  epoch 0 step 21200  loss=0.1641  (4961s)
  epoch 0 step 21400  loss=0.1639  (4997s)
  epoch 0 step 21600  loss=0.1636  (5034s)
  epoch 0 step 21800  loss=0.1634  (5069s)
  epoch 0 step 22000  loss=0.1632  (5101s)
  epoch 0 step 22200  loss=0.1630  (5133s)
  epoch 0 step 22400  loss=0.1629  (5165s)
[epoch 0] loss=0.1628 lr=1.00e-04 train=5182s
      ai: acc=0.7186 ap=0.8247  blur: acc=0.9835 ap=0.9951  jpeg: acc=0.9968 ap=0.9994  noise: acc=0.9982 ap=1.0000
      ai AP by variant:  clean=0.9984  blur=0.7681  jpeg=0.6217  noise=0.6414
  epoch 1 step 200  loss=0.1425  (79s)
  epoch 1 step 400  loss=0.1425  (149s)
  epoch 1 step 600  loss=0.1419  (218s)
  epoch 1 step 800  loss=0.1417  (287s)
  epoch 1 step 1000  loss=0.1420  (355s)
  epoch 1 step 1200  loss=0.1418  (420s)
  epoch 1 step 1400  loss=0.1415  (486s)
  epoch 1 step 1600  loss=0.1411  (548s)
  epoch 1 step 1800  loss=0.1414  (609s)
  epoch 1 step 2000  loss=0.1412  (669s)
  epoch 1 step 2200  loss=0.1410  (729s)
  epoch 1 step 2400  loss=0.1409  (808s)
  epoch 1 step 2600  loss=0.1410  (866s)
  epoch 1 step 2800  loss=0.1409  (922s)
  epoch 1 step 3000  loss=0.1410  (982s)
  epoch 1 step 3200  loss=0.1410  (1042s)
  epoch 1 step 3400  loss=0.1408  (1112s)
  epoch 1 step 3600  loss=0.1407  (1174s)
  epoch 1 step 3800  loss=0.1407  (1238s)
  epoch 1 step 4000  loss=0.1406  (1298s)
  epoch 1 step 4200  loss=0.1405  (1360s)
  epoch 1 step 4400  loss=0.1403  (1421s)
  epoch 1 step 4600  loss=0.1403  (1481s)
  epoch 1 step 4800  loss=0.1401  (1540s)
  epoch 1 step 5000  loss=0.1400  (1603s)
  epoch 1 step 5200  loss=0.1398  (1661s)
  epoch 1 step 5400  loss=0.1398  (1717s)
  epoch 1 step 5600  loss=0.1398  (1774s)
  epoch 1 step 5800  loss=0.1398  (1830s)
  epoch 1 step 6000  loss=0.1397  (1887s)
  epoch 1 step 6200  loss=0.1397  (1944s)
  epoch 1 step 6400  loss=0.1396  (1999s)
  epoch 1 step 6600  loss=0.1395  (2055s)
  epoch 1 step 6800  loss=0.1395  (2110s)
  epoch 1 step 7000  loss=0.1394  (2165s)
  epoch 1 step 7200  loss=0.1393  (2221s)
  epoch 1 step 7400  loss=0.1393  (2275s)
  epoch 1 step 7600  loss=0.1392  (2333s)
  epoch 1 step 7800  loss=0.1392  (2388s)
  epoch 1 step 8000  loss=0.1391  (2444s)
  epoch 1 step 8200  loss=0.1391  (2500s)
  epoch 1 step 8400  loss=0.1390  (2556s)
  epoch 1 step 8600  loss=0.1390  (2613s)
  epoch 1 step 8800  loss=0.1390  (2670s)
  epoch 1 step 9000  loss=0.1389  (2727s)
  epoch 1 step 9200  loss=0.1388  (2784s)
  epoch 1 step 9400  loss=0.1388  (2842s)
  epoch 1 step 9600  loss=0.1388  (2900s)
  epoch 1 step 9800  loss=0.1387  (2957s)
  epoch 1 step 10000  loss=0.1386  (3013s)
  epoch 1 step 10200  loss=0.1385  (3070s)
  epoch 1 step 10400  loss=0.1385  (3128s)
  epoch 1 step 10600  loss=0.1385  (3185s)
  epoch 1 step 10800  loss=0.1384  (3243s)
  epoch 1 step 11000  loss=0.1383  (3300s)
  epoch 1 step 11200  loss=0.1383  (3357s)
  epoch 1 step 11400  loss=0.1383  (3413s)
  epoch 1 step 11600  loss=0.1382  (3472s)
  epoch 1 step 11800  loss=0.1382  (3531s)
  epoch 1 step 12000  loss=0.1381  (3591s)
  epoch 1 step 12200  loss=0.1381  (3646s)
  epoch 1 step 12400  loss=0.1380  (3706s)
  epoch 1 step 12600  loss=0.1380  (3765s)
  epoch 1 step 12800  loss=0.1380  (3824s)
  epoch 1 step 13000  loss=0.1379  (3906s)
  epoch 1 step 13200  loss=0.1379  (3967s)
  epoch 1 step 13400  loss=0.1379  (4027s)
  epoch 1 step 13600  loss=0.1378  (4089s)
  epoch 1 step 13800  loss=0.1378  (4150s)
  epoch 1 step 14000  loss=0.1378  (4214s)
  epoch 1 step 14200  loss=0.1377  (4276s)
  epoch 1 step 14400  loss=0.1376  (4341s)
  epoch 1 step 14600  loss=0.1376  (4405s)
  epoch 1 step 14800  loss=0.1375  (4468s)
  epoch 1 step 15000  loss=0.1374  (4536s)
  epoch 1 step 15200  loss=0.1374  (4602s)
  epoch 1 step 15400  loss=0.1374  (4670s)
  epoch 1 step 15600  loss=0.1373  (4737s)
  epoch 1 step 15800  loss=0.1373  (4802s)
  epoch 1 step 16000  loss=0.1372  (4868s)
  epoch 1 step 16200  loss=0.1372  (4936s)
  epoch 1 step 16400  loss=0.1371  (5004s)
  epoch 1 step 16600  loss=0.1371  (5074s)
  epoch 1 step 16800  loss=0.1370  (5143s)
  epoch 1 step 17000  loss=0.1370  (5212s)
  epoch 1 step 17200  loss=0.1369  (5281s)
  epoch 1 step 17400  loss=0.1368  (5352s)
  epoch 1 step 17600  loss=0.1368  (5422s)
  epoch 1 step 17800  loss=0.1368  (5493s)
  epoch 1 step 18000  loss=0.1367  (5560s)
  epoch 1 step 18200  loss=0.1367  (5627s)
  epoch 1 step 18400  loss=0.1367  (5694s)
  epoch 1 step 18600  loss=0.1366  (5761s)
  epoch 1 step 18800  loss=0.1366  (5825s)
  epoch 1 step 19000  loss=0.1366  (5956s)
  epoch 1 step 19200  loss=0.1365  (6073s)
  epoch 1 step 19400  loss=0.1365  (6136s)
  epoch 1 step 19600  loss=0.1364  (6196s)
