config,condition,matrix,true,pred,count
deg_baseline_2x2,clean,ai,no,no,354
deg_baseline_2x2,clean,ai,no,yes,67
deg_baseline_2x2,clean,ai,yes,no,78
deg_baseline_2x2,clean,ai,yes,yes,301
deg_baseline_2x2,clean,blur,no,no,411
deg_baseline_2x2,clean,blur,no,yes,389
deg_baseline_2x2,clean,blur,yes,no,0
deg_baseline_2x2,clean,blur,yes,yes,0
deg_baseline_2x2,clean,jpeg,no,no,658
deg_baseline_2x2,clean,jpeg,no,yes,142
deg_baseline_2x2,clean,jpeg,yes,no,0
deg_baseline_2x2,clean,jpeg,yes,yes,0
deg_baseline_2x2,jpeg_only,ai,no,no,208
deg_baseline_2x2,jpeg_only,ai,no,yes,208
deg_baseline_2x2,jpeg_only,ai,yes,no,165
deg_baseline_2x2,jpeg_only,ai,yes,yes,219
deg_baseline_2x2,jpeg_only,blur,no,no,395
deg_baseline_2x2,jpeg_only,blur,no,yes,405
deg_baseline_2x2,jpeg_only,blur,yes,no,0
deg_baseline_2x2,jpeg_only,blur,yes,yes,0
deg_baseline_2x2,jpeg_only,jpeg,no,no,0
deg_baseline_2x2,jpeg_only,jpeg,no,yes,0
deg_baseline_2x2,jpeg_only,jpeg,yes,no,0
deg_baseline_2x2,jpeg_only,jpeg,yes,yes,800
deg_baseline_2x2,blur_only,ai,no,no,295
deg_baseline_2x2,blur_only,ai,no,yes,117
deg_baseline_2x2,blur_only,ai,yes,no,190
deg_baseline_2x2,blur_only,ai,yes,yes,198
deg_baseline_2x2,blur_only,blur,no,no,0
deg_baseline_2x2,blur_only,blur,no,yes,0
deg_baseline_2x2,blur_only,blur,yes,no,81
deg_baseline_2x2,blur_only,blur,yes,yes,719
deg_baseline_2x2,blur_only,jpeg,no,no,752
deg_baseline_2x2,blur_only,jpeg,no,yes,48
deg_baseline_2x2,blur_only,jpeg,yes,no,0
deg_baseline_2x2,blur_only,jpeg,yes,yes,0
deg_baseline_2x2,both,ai,no,no,227
deg_baseline_2x2,both,ai,no,yes,189
deg_baseline_2x2,both,ai,yes,no,173
deg_baseline_2x2,both,ai,yes,yes,211
deg_baseline_2x2,both,blur,no,no,0
deg_baseline_2x2,both,blur,no,yes,0
deg_baseline_2x2,both,blur,yes,no,104
deg_baseline_2x2,both,blur,yes,yes,696
deg_baseline_2x2,both,jpeg,no,no,0
deg_baseline_2x2,both,jpeg,no,yes,0
deg_baseline_2x2,both,jpeg,yes,no,0
deg_baseline_2x2,both,jpeg,yes,yes,800
deg_baseline_2x2,seen,ai,no,no,223
deg_baseline_2x2,seen,ai,no,yes,193
deg_baseline_2x2,seen,ai,yes,no,174
deg_baseline_2x2,seen,ai,yes,yes,210
deg_baseline_2x2,seen,blur,no,no,110
deg_baseline_2x2,seen,blur,no,yes,124
deg_baseline_2x2,seen,blur,yes,no,60
deg_baseline_2x2,seen,blur,yes,yes,506
deg_baseline_2x2,seen,jpeg,no,no,122
deg_baseline_2x2,seen,jpeg,no,yes,9
deg_baseline_2x2,seen,jpeg,yes,no,0
deg_baseline_2x2,seen,jpeg,yes,yes,669
deg_baseline_2x2,unseen,ai,no,no,204
deg_baseline_2x2,unseen,ai,no,yes,212
deg_baseline_2x2,unseen,ai,yes,no,168
deg_baseline_2x2,unseen,ai,yes,yes,216
deg_baseline_2x2,unseen,blur,no,no,0
deg_baseline_2x2,unseen,blur,no,yes,0
deg_baseline_2x2,unseen,blur,yes,no,104
deg_baseline_2x2,unseen,blur,yes,yes,696
deg_baseline_2x2,unseen,jpeg,no,no,0
deg_baseline_2x2,unseen,jpeg,no,yes,0
deg_baseline_2x2,unseen,jpeg,yes,no,0
deg_baseline_2x2,unseen,jpeg,yes,yes,800
