config,condition,metric,value
deg_baseline_2x2,clean,ai_roc_auc,0.880964
deg_baseline_2x2,clean,blur_roc_auc,nan
deg_baseline_2x2,clean,jpeg_roc_auc,nan
deg_baseline_2x2,jpeg_only,ai_roc_auc,0.568033
deg_baseline_2x2,jpeg_only,blur_roc_auc,nan
deg_baseline_2x2,jpeg_only,jpeg_roc_auc,nan
deg_baseline_2x2,blur_only,ai_roc_auc,0.66511
deg_baseline_2x2,blur_only,blur_roc_auc,nan
deg_baseline_2x2,blur_only,jpeg_roc_auc,nan
deg_baseline_2x2,both,ai_roc_auc,0.534669
deg_baseline_2x2,both,blur_roc_auc,nan
deg_baseline_2x2,both,jpeg_roc_auc,nan
deg_baseline_2x2,seen,ai_roc_auc,0.567986
deg_baseline_2x2,seen,blur_roc_auc,0.807534
deg_baseline_2x2,seen,jpeg_roc_auc,0.999621
deg_baseline_2x2,unseen,ai_roc_auc,0.538533
deg_baseline_2x2,unseen,blur_roc_auc,nan
deg_baseline_2x2,unseen,jpeg_roc_auc,nan
deg_renyi4_2x2,clean,ai_roc_auc,0.861264
deg_renyi4_2x2,clean,blur_roc_auc,nan
deg_renyi4_2x2,clean,jpeg_roc_auc,nan
deg_renyi4_2x2,jpeg_only,ai_roc_auc,0.566752
deg_renyi4_2x2,jpeg_only,blur_roc_auc,nan
deg_renyi4_2x2,jpeg_only,jpeg_roc_auc,nan
deg_renyi4_2x2,blur_only,ai_roc_auc,0.636711
deg_renyi4_2x2,blur_only,blur_roc_auc,nan
deg_renyi4_2x2,blur_only,jpeg_roc_auc,nan
deg_renyi4_2x2,both,ai_roc_auc,0.557522
deg_renyi4_2x2,both,blur_roc_auc,nan
deg_renyi4_2x2,both,jpeg_roc_auc,nan
deg_renyi4_2x2,seen,ai_roc_auc,0.568175
deg_renyi4_2x2,seen,blur_roc_auc,0.802768
deg_renyi4_2x2,seen,jpeg_roc_auc,0.999848
deg_renyi4_2x2,unseen,ai_roc_auc,0.561786
deg_renyi4_2x2,unseen,blur_roc_auc,nan
deg_renyi4_2x2,unseen,jpeg_roc_auc,nan
