config,condition,head,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
deg_baseline_2x2,clean,ai,800,386,0.882165,0.904947,0.81875,0.843305,0.766839,0.803256,0.194976,0.201014,0.245377
deg_baseline_2x2,clean,blur,800,0,nan,nan,0.40625,0,0,0,nan,0.38925,nan
deg_baseline_2x2,clean,jpeg,800,0,nan,nan,0.8875,0,0,0,nan,0.0856233,nan
deg_baseline_2x2,jpeg_only,ai,800,435,0.568248,0.585942,0.50875,0.600962,0.287356,0.388802,0.446276,0.252791,0.0909241
deg_baseline_2x2,jpeg_only,blur,800,0,nan,nan,0.54375,0,0,0,nan,0.294723,nan
deg_baseline_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00405958,nan
deg_baseline_2x2,blur_only,ai,800,393,0.66617,0.651715,0.6,0.647773,0.407125,0.5,0.39749,0.234766,0.077289
deg_baseline_2x2,blur_only,blur,800,800,nan,nan,0.9375,1,0.9375,0.967742,nan,0.0422858,nan
deg_baseline_2x2,blur_only,jpeg,800,0,nan,nan,0.9725,0,0,0,nan,0.0179696,nan
deg_baseline_2x2,both,ai,800,435,0.534609,0.547353,0.555,0.570916,0.731034,0.641129,0.471249,0.248069,0.0499749
deg_baseline_2x2,both,blur,800,800,nan,nan,0.83625,1,0.83625,0.910824,nan,0.105007,nan
deg_baseline_2x2,both,jpeg,800,800,nan,nan,0.99875,1,0.99875,0.999375,nan,0.00251131,nan
deg_baseline_2x2,seen,ai,800,435,0.56849,0.602212,0.5525,0.594595,0.556322,0.574822,0.444906,0.247176,0.0519393
deg_baseline_2x2,seen,blur,800,562,0.807627,0.912742,0.75625,0.816926,0.841637,0.829097,0.261925,0.159221,0.0371727
deg_baseline_2x2,seen,jpeg,800,660,0.999621,0.99992,0.9925,0.99247,0.998485,0.995468,0.00735931,0.00643777,0.0182931
deg_baseline_2x2,unseen,ai,800,435,0.538806,0.574215,0.5475,0.56304,0.749425,0.642998,0.488663,0.24688,0.0288216
deg_baseline_2x2,unseen,blur,800,800,nan,nan,0.8425,1,0.8425,0.914518,nan,0.10607,nan
deg_baseline_2x2,unseen,jpeg,800,800,nan,nan,0.99625,1,0.99625,0.998121,nan,0.00344714,nan
deg_renyi4_2x2,clean,ai,800,386,0.860617,0.888937,0.76125,0.725173,0.813472,0.766789,0.220007,0.165403,0.152851
deg_renyi4_2x2,clean,blur,800,0,nan,nan,0.4775,0,0,0,nan,0.385437,nan
deg_renyi4_2x2,clean,jpeg,800,0,nan,nan,0.9125,0,0,0,nan,0.0677077,nan
deg_renyi4_2x2,jpeg_only,ai,800,435,0.566301,0.603301,0.51875,0.604167,0.333333,0.42963,0.443757,0.249994,0.080803
deg_renyi4_2x2,jpeg_only,blur,800,0,nan,nan,0.525,0,0,0,nan,0.304786,nan
deg_renyi4_2x2,jpeg_only,jpeg,800,800,nan,nan,0.9975,1,0.9975,0.998748,nan,0.00241862,nan
deg_renyi4_2x2,blur_only,ai,800,393,0.636226,0.634316,0.5775,0.613169,0.379135,0.468553,0.413724,0.242577,0.0972578
deg_renyi4_2x2,blur_only,blur,800,800,nan,nan,0.9225,1,0.9225,0.959688,nan,0.0448885,nan
deg_renyi4_2x2,blur_only,jpeg,800,0,nan,nan,0.98125,0,0,0,nan,0.0135702,nan
deg_renyi4_2x2,both,ai,800,435,0.557588,0.578859,0.5575,0.578641,0.685057,0.627368,0.463691,0.246043,0.048237
deg_renyi4_2x2,both,blur,800,800,nan,nan,0.8425,1,0.8425,0.914518,nan,0.0999466,nan
deg_renyi4_2x2,both,jpeg,800,800,nan,nan,1,1,1,1,nan,0.00249443,nan
deg_renyi4_2x2,seen,ai,800,435,0.56809,0.624471,0.535,0.580153,0.524138,0.550725,0.454054,0.246774,0.0587448
deg_renyi4_2x2,seen,blur,800,562,0.802757,0.907953,0.7575,0.816151,0.845196,0.83042,0.277445,0.161322,0.0319195
deg_renyi4_2x2,seen,jpeg,800,660,0.999848,0.999968,0.99625,0.996974,0.998485,0.997729,0.00508658,0.00429207,0.0157165
deg_renyi4_2x2,unseen,ai,800,435,0.562296,0.591684,0.56125,0.582353,0.682759,0.628571,0.460022,0.244705,0.0451113
deg_renyi4_2x2,unseen,blur,800,800,nan,nan,0.85625,1,0.85625,0.922559,nan,0.0997732,nan
deg_renyi4_2x2,unseen,jpeg,800,800,nan,nan,0.99875,1,0.99875,0.999375,nan,0.00229358,nan
