group,stage,config,classifier,clean_roc_auc,delta_vs_A,mean_corrupt_roc_auc
A_shannon,features,A_shannon+logreg,logreg,0.991776,0,0.505224
A_shannon,features,A_shannon+rf,rf,0.963096,0,0.528723
A_shannon,features,A_shannon+svm,svm,0.976114,0,0.516524
A_shannon,features,A_shannon+gbt,gbt,0.990861,0,0.52982
B_renyi,features,B_renyi+logreg,logreg,0.995723,0.0039474,0.509082
B_renyi,features,B_renyi+rf,rf,0.970529,0.00743235,0.544272
B_renyi,features,B_renyi+svm,svm,0.977848,0.00173357,0.522496
B_renyi,features,B_renyi+gbt,gbt,0.992453,0.00159186,0.545724
C_tsallis,features,C_tsallis+logreg,logreg,0.994315,0.00253883,0.521345
C_tsallis,features,C_tsallis+rf,rf,0.980024,0.0169275,0.539294
C_tsallis,features,C_tsallis+svm,svm,0.981886,0.00577176,0.529667
C_tsallis,features,C_tsallis+gbt,gbt,0.995005,0.00414427,0.526271
D_perm,features,D_perm+logreg,logreg,0.884415,-0.107361,0.507364
D_perm,features,D_perm+rf,rf,0.8222,-0.140897,0.513191
D_perm,features,D_perm+svm,svm,0.81281,-0.163305,0.513445
D_perm,features,D_perm+gbt,gbt,0.848907,-0.141954,0.503184
E_shannon_renyi,features,E_shannon_renyi+logreg,logreg,0.995744,0.00396777,0.507611
E_shannon_renyi,features,E_shannon_renyi+rf,rf,0.9736,0.0105041,0.545503
E_shannon_renyi,features,E_shannon_renyi+svm,svm,0.978355,0.00224099,0.522748
E_shannon_renyi,features,E_shannon_renyi+gbt,gbt,0.991949,0.00108783,0.549889
F_shannon_tsallis,features,F_shannon_tsallis+logreg,logreg,0.994907,0.00313111,0.519737
F_shannon_tsallis,features,F_shannon_tsallis+rf,rf,0.980004,0.016908,0.547935
F_shannon_tsallis,features,F_shannon_tsallis+svm,svm,0.981991,0.00587613,0.526191
F_shannon_tsallis,features,F_shannon_tsallis+gbt,gbt,0.995433,0.00457193,0.527526
G_shannon_perm,features,G_shannon_perm+logreg,logreg,0.992726,0.000950364,0.501803
G_shannon_perm,features,G_shannon_perm+rf,rf,0.962313,-0.000783202,0.535649
G_shannon_perm,features,G_shannon_perm+svm,svm,0.973892,-0.00222232,0.490921
G_shannon_perm,features,G_shannon_perm+gbt,gbt,0.990804,-5.77007e-05,0.533626
H_all,features,H_all+logreg,logreg,0.994098,0.0023216,0.501279
H_all,features,H_all+rf,rf,0.97901,0.0159135,0.548068
H_all,features,H_all+svm,svm,0.982665,0.00655072,0.514592
H_all,features,H_all+gbt,gbt,0.995431,0.00457023,0.53241
A_shannon,deep,ent_A_shannon,mlep,0.997857,0,0.512871
B_renyi,deep,ent_B_renyi0.5,mlep,0.997637,-0.000219355,0.511527
B_renyi,deep,ent_B_renyi2,mlep,0.998358,0.000501382,0.513817
B_renyi,deep,ent_B_renyi4,mlep,0.998182,0.000325898,0.518562
C_tsallis,deep,ent_C_tsallis0.5,mlep,0.998026,0.000169216,0.508984
C_tsallis,deep,ent_C_tsallis2,mlep,0.998182,0.000325898,0.52568
C_tsallis,deep,ent_C_tsallis4,mlep,0.998721,0.000864884,0.528163
D_perm,deep,ent_D_perm3,mlep,0.808613,-0.189243,0.496025
D_perm,deep,ent_D_perm4,mlep,0.755968,-0.241889,0.491184
E_shannon_renyi,deep,ent_E_shannon_renyi,mlep,0.997233,-0.000623594,0.500913
F_shannon_tsallis,deep,ent_F_shannon_tsallis,mlep,0.995632,-0.00222488,0.491808
G_shannon_perm,deep,ent_G_shannon_perm,mlep,0.945797,-0.0520591,0.47856
H_all,deep,ent_H_all,mlep,0.98488,-0.0129764,0.505484
H_all,deep,ent_H_all_normalized,mlep,0.989609,-0.00824773,0.509194
