stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
features,A_shannon,logreg,clean,1536,792,0.991776,0.990824,0.967448,0.97201,0.964646,0.968314,0.0306085,0.0285374,0.0255291
features,A_shannon,logreg,blur,1536,792,0.668671,0.626827,0.591797,0.560886,0.959596,0.707965,0.375,0.325715,0.310929
features,A_shannon,logreg,jpeg,1536,792,0.45509,0.486823,0.484375,0.5,0.0353535,0.0660377,0.53906,0.482828,0.470315
features,A_shannon,logreg,webp,1536,792,0.456563,0.495496,0.48763,0.6,0.0189394,0.0367197,0.537757,0.506342,0.50435
features,A_shannon,logreg,blur+jpeg,1536,792,0.440572,0.492701,0.488932,0.559322,0.0416667,0.0775558,0.546208,0.488385,0.480865
features,A_shannon,rf,clean,1536,792,0.963096,0.967061,0.892578,0.913043,0.875,0.893617,0.106162,0.09859,0.135944
features,A_shannon,rf,blur,1536,792,0.642417,0.624346,0.606771,0.620205,0.612374,0.616264,0.39455,0.239358,0.0632183
features,A_shannon,rf,jpeg,1536,792,0.480542,0.496314,0.482422,0.4,0.00757576,0.0148699,0.513746,0.387447,0.350907
features,A_shannon,rf,webp,1536,792,0.490403,0.517402,0.486979,0.833333,0.00631313,0.0125313,0.508187,0.424914,0.40878
features,A_shannon,rf,blur+jpeg,1536,792,0.501532,0.518691,0.485026,0.6,0.00378788,0.00752823,0.492811,0.42068,0.40513
features,A_shannon,svm,clean,1536,792,0.976114,0.976659,0.928385,0.939433,0.920455,0.929847,0.0735785,0.0574345,0.023717
features,A_shannon,svm,blur,1536,792,0.642865,0.615938,0.590495,0.576382,0.776515,0.661646,0.396485,0.2905,0.232733
features,A_shannon,svm,jpeg,1536,792,0.477436,0.487605,0.479818,0.393939,0.0164141,0.0315152,0.524092,0.495849,0.488534
features,A_shannon,svm,webp,1536,792,0.468505,0.501691,0.486328,0.636364,0.00883838,0.0174346,0.531281,0.506612,0.504795
features,A_shannon,svm,blur+jpeg,1536,792,0.477291,0.505272,0.484375,0.5,0.0113636,0.0222222,0.512362,0.502151,0.499151
features,A_shannon,gbt,clean,1536,792,0.990861,0.992023,0.953125,0.965116,0.943182,0.954023,0.0481834,0.0363518,0.0197623
features,A_shannon,gbt,blur,1536,792,0.678645,0.653307,0.636719,0.614035,0.795455,0.693069,0.376303,0.281358,0.224624
features,A_shannon,gbt,jpeg,1536,792,0.478152,0.493783,0.485677,0.53125,0.0214646,0.0412621,0.509755,0.494458,0.486499
features,A_shannon,gbt,webp,1536,792,0.48319,0.513034,0.486328,0.6,0.0113636,0.0223048,0.514337,0.504379,0.502287
features,A_shannon,gbt,blur+jpeg,1536,792,0.479292,0.513781,0.486979,0.611111,0.0138889,0.0271605,0.528002,0.501266,0.499583
features,B_renyi,logreg,clean,1536,792,0.995723,0.995135,0.975911,0.97967,0.973485,0.976567,0.0253951,0.0193819,0.0107724
features,B_renyi,logreg,blur,1536,792,0.667361,0.635166,0.575521,0.550725,0.959596,0.699816,0.380885,0.35627,0.346887
features,B_renyi,logreg,jpeg,1536,792,0.464974,0.494559,0.486979,0.517544,0.0744949,0.130243,0.538388,0.478487,0.462636
features,B_renyi,logreg,webp,1536,792,0.464976,0.502993,0.489583,0.625,0.0252525,0.0485437,0.53906,0.505029,0.503741
features,B_renyi,logreg,blur+jpeg,1536,792,0.439017,0.494436,0.494792,0.583333,0.0707071,0.126126,0.555332,0.484026,0.473558
features,B_renyi,rf,clean,1536,792,0.970529,0.97325,0.904297,0.926024,0.885101,0.9051,0.0963669,0.0882347,0.126584
features,B_renyi,rf,blur,1536,792,0.651431,0.635167,0.603516,0.594623,0.72601,0.653781,0.385427,0.239326,0.0838542
features,B_renyi,rf,jpeg,1536,792,0.500462,0.505342,0.481771,0.428571,0.0151515,0.0292683,0.499837,0.377406,0.338299
