set,generator,leaf,kind,n,acc,ap,roc_auc,real_acc,fake_acc,ai_mean,ai_rate,blur_mean,blur_rate,jpeg_mean,jpeg_rate
Diffusion-set,DALLE,ALL,diffusion,4000,0.78775,0.970321,0.968277,0.5825,0.993,0.707031,0.70525,0.0457653,0.0185,0.064416,0.06275
Diffusion-set,dalle,ALL,diffusion,2000,0.847,0.945177,0.912946,0.817,0.877,0.575245,0.53,0.220911,0.164,0.521361,0.529
Diffusion-set,ddpm,ALL,diffusion,19992,0.803371,0.921272,0.893175,0.8356,0.771117,0.487402,0.467637,0.420675,0.371749,0.22246,0.218487
Diffusion-set,ddpm,google-ddpm-bedroom-256,diffusion,4000,0.84225,0.966254,0.946107,0.756,0.9285,0.625919,0.58625,0.412278,0.36675,0.499942,0.50025
Diffusion-set,ddpm,google-ddpm-cat-256,diffusion,4000,0.97325,0.999042,0.998913,0.995,0.9515,0.457337,0.47825,0.146381,0.1095,0.00234338,0.002
Diffusion-set,ddpm,google-ddpm-celebahq-256,diffusion,4000,0.98975,0.999362,0.999382,0.9865,0.993,0.514415,0.50325,0.204605,0.14425,0.07392,0.068
Diffusion-set,ddpm,google-ddpm-church-256,diffusion,4000,0.69625,0.958754,0.929954,0.466,0.9265,0.679626,0.73025,0.371923,0.26725,0.499226,0.5
Diffusion-set,ddpm,google-ddpm-cifar10-32,diffusion,3992,0.51478,0.665157,0.705561,0.9745,0.0532129,0.159055,0.0393287,0.969286,0.972194,0.0364981,0.0217936
Diffusion-set,glide_100_10,ALL,diffusion,2000,0.906,0.997465,0.996722,0.817,0.995,0.636001,0.589,0.244824,0.198,0.45781,0.4655
Diffusion-set,glide_100_27,ALL,diffusion,2000,0.9065,0.997623,0.99714,0.817,0.996,0.636085,0.5895,0.249436,0.202,0.457315,0.465
Diffusion-set,glide_50_27,ALL,diffusion,2000,0.904,0.995774,0.994166,0.817,0.991,0.634444,0.587,0.247952,0.199,0.457642,0.4655
Diffusion-set,guided,ALL,diffusion,2000,0.7635,0.848903,0.87192,0.539,0.988,0.721054,0.7245,0.0564868,0.0245,0.0407853,0.039
Diffusion-set,guided-diffusion,ALL,diffusion,4000,0.78275,0.930348,0.930233,0.5825,0.983,0.697449,0.70025,0.0601705,0.02575,0.0637264,0.06225
Diffusion-set,improved-diffusion,ALL,diffusion,4000,0.55625,0.496415,0.588241,0.5825,0.53,0.474696,0.47375,0.440173,0.44475,0.0626227,0.06125
Diffusion-set,ldm_100,ALL,diffusion,2000,0.907,0.998808,0.998501,0.817,0.997,0.642308,0.59,0.198015,0.15,0.458323,0.467
Diffusion-set,ldm_200,ALL,diffusion,2000,0.908,0.999099,0.998676,0.817,0.999,0.642839,0.591,0.199195,0.1505,0.457648,0.4655
Diffusion-set,ldm_200_cfg,ALL,diffusion,2000,0.9045,0.996295,0.993869,0.817,0.992,0.639308,0.5875,0.199234,0.1515,0.462582,0.4705
Diffusion-set,midjourney,ALL,diffusion,4000,0.781,0.908794,0.919868,0.5825,0.9795,0.69737,0.6985,0.0770506,0.04075,0.0639822,0.06275
GAN-set-1,biggan,ALL,gan,4000,0.7815,0.88866,0.90466,0.5825,0.9805,0.694842,0.699,0.0651656,0.02575,0.0658659,0.0645
GAN-set-1,crn,ALL,gan,12764,0.482842,0.354479,0.243249,0.0211532,0.944531,0.901793,0.961689,0.507561,0.521467,1.04892e-07,0
GAN-set-1,cyclegan,ALL,gan,2642,0.712339,0.976484,0.971089,0.43679,0.987888,0.737774,0.775549,0.261084,0.193414,0.469671,0.472369
GAN-set-1,cyclegan,apple,gan,514,0.754864,0.941796,0.939425,0.556391,0.967742,0.668128,0.696498,0.419368,0.389105,0.484428,0.486381
GAN-set-1,cyclegan,horse,gan,260,0.696154,0.999234,0.999107,0.341667,1,0.786324,0.842308,0.235566,0.119231,0.439494,0.446154
GAN-set-1,cyclegan,orange,gan,514,0.819066,0.973501,0.96803,0.657258,0.969925,0.671454,0.667315,0.340063,0.301556,0.45241,0.453307
GAN-set-1,cyclegan,summer,gan,547,0.606947,0.991685,0.9921,0.304207,1,0.76798,0.828154,0.208209,0.122486,0.540384,0.542962
GAN-set-1,cyclegan,winter,gan,547,0.661792,0.999125,0.998735,0.222689,1,0.834541,0.903108,0.14644,0.0767824,0.422551,0.42596
GAN-set-1,cyclegan,zebra,gan,260,0.761538,0.998084,0.998393,0.557143,1,0.690893,0.7,0.169981,0.0615385,0.455165,0.457692
GAN-set-1,deepfake,ALL,gan,5405,0.523589,0.720317,0.711642,1,0.0455893,0.0379679,0.0227567,0.640961,0.641443,0.0292351,0.026087
GAN-set-1,gaugan,ALL,gan,10000,0.7047,0.818222,0.85755,0.4156,0.9938,0.782963,0.7891,0.0314648,0.0038,0.0256428,0.0248
GAN-set-1,imle,ALL,gan,12764,0.510577,0.872816,0.890681,0.0211532,1,0.973006,0.989423,0.181374,0.161156,6.98819e-08,0
GAN-set-1,progan,ALL,gan,8000,0.992625,0.999833,0.999832,0.992,0.99325,0.499887,0.500625,0.0396059,0.017125,0.00269927,0.00225
GAN-set-1,progan,airplane,gan,400,1,1,1,1,1,0.498801,0.5,0.0599498,0.03,0.00262385,0.0025
GAN-set-1,progan,bicycle,gan,400,0.98,0.999053,0.99905,0.975,0.985,0.502541,0.505,0.0278168,0.0025,0.00294338,0.0025
GAN-set-1,progan,bird,gan,400,0.9775,0.998358,0.998325,0.97,0.985,0.507173,0.5075,0.0461831,0.0275,0.00583744,0.0075
GAN-set-1,progan,boat,gan,400,1,1,1,1,1,0.499228,0.5,0.0180717,0.005,0.00268281,0.0025
GAN-set-1,progan,bottle,gan,400,0.995,0.99995,0.99995,1,0.99,0.489125,0.495,0.0864576,0.045,0.00641264,0.005
