set,generator,role,condition,n,acc,ap,roc_auc,real_acc,fake_acc,ai_mean,ai_rate,blur_mean,blur_rate,jpeg_mean,jpeg_rate
GAN-set-1,crn,worst_gan,clean,1000,0.481,0.359377,0.25692,0.022,0.94,0.900404,0.959,0.515364,0.529,1.53791e-07,0
GAN-set-1,crn,worst_gan,blur_0.5,1000,0.398,0.355507,0.244168,0.114,0.682,0.723785,0.784,0.821595,0.885,5.58019e-07,0
GAN-set-1,crn,worst_gan,blur_1.5,1000,0.509,0.473471,0.48529,0.232,0.786,0.641491,0.777,0.980721,0.998,2.67585e-07,0
GAN-set-1,crn,worst_gan,blur_3.0,1000,0.588,0.733822,0.743488,0.216,0.96,0.70879,0.872,0.980061,0.99,5.50251e-07,0
GAN-set-1,crn,worst_gan,jpeg_q75,1000,0.671,0.593554,0.67898,0.48,0.862,0.524255,0.691,0.615731,0.68,0.999375,1
GAN-set-1,crn,worst_gan,jpeg_q45,1000,0.637,0.620079,0.67422,0.362,0.912,0.5541,0.775,0.647865,0.768,0.999177,1
GAN-set-1,crn,worst_gan,jpeg_q15,1000,0.529,0.506988,0.524648,0.188,0.87,0.558608,0.841,0.731628,0.967,0.999817,1
GAN-set-1,crn,worst_gan,webp_q80,1000,0.557,0.522321,0.574688,0.134,0.98,0.599279,0.923,0.689773,0.801,0.999612,1
GAN-set-1,crn,worst_gan,webp_q50,1000,0.62,0.645243,0.730444,0.246,0.994,0.591827,0.874,0.779942,0.943,0.999692,1
GAN-set-1,crn,worst_gan,webp_q20,1000,0.585,0.644894,0.717064,0.178,0.992,0.603722,0.907,0.85714,0.995,0.999735,1
GAN-set-1,stargan,best_gan,clean,1000,1,1,1,1,1,0.516294,0.5,0.0447477,0.02,0.0434363,0.03
GAN-set-1,stargan,best_gan,blur_0.5,1000,0.994,0.999812,0.999812,0.99,0.998,0.505402,0.504,0.677128,0.712,0.000504935,0
GAN-set-1,stargan,best_gan,blur_1.5,1000,0.955,0.991129,0.992216,0.918,0.992,0.497481,0.537,0.955953,0.967,6.26871e-06,0
GAN-set-1,stargan,best_gan,blur_3.0,1000,0.783,0.932811,0.934706,0.59,0.976,0.612335,0.693,0.997179,1,7.9806e-06,0
GAN-set-1,stargan,best_gan,jpeg_q75,1000,0.587,0.586949,0.622384,0.534,0.64,0.499323,0.553,0.770489,0.916,0.999665,1
GAN-set-1,stargan,best_gan,jpeg_q45,1000,0.558,0.539232,0.56174,0.452,0.664,0.50871,0.606,0.805379,0.953,0.999668,1
GAN-set-1,stargan,best_gan,jpeg_q15,1000,0.536,0.509652,0.543048,0.41,0.662,0.514951,0.626,0.837266,0.997,0.999971,1
GAN-set-1,stargan,best_gan,webp_q80,1000,0.572,0.553569,0.609172,0.282,0.862,0.550985,0.79,0.834231,0.973,0.999831,1
GAN-set-1,stargan,best_gan,webp_q50,1000,0.577,0.568365,0.593194,0.408,0.746,0.52404,0.669,0.839338,0.978,0.999853,1
GAN-set-1,stargan,best_gan,webp_q20,1000,0.545,0.537726,0.551726,0.392,0.698,0.526569,0.653,0.888133,0.99,0.999855,1
Diffusion-set,improved-diffusion,worst_diffusion,clean,1000,0.534,0.481455,0.56246,0.578,0.49,0.474324,0.456,0.443865,0.445,0.0729223,0.072
Diffusion-set,improved-diffusion,worst_diffusion,blur_0.5,1000,0.341,0.400004,0.37846,0.426,0.256,0.45212,0.415,0.623602,0.615,0.0180208,0.017
Diffusion-set,improved-diffusion,worst_diffusion,blur_1.5,1000,0.484,0.41045,0.411538,0.386,0.582,0.546889,0.598,0.907428,0.935,0.0164355,0.016
Diffusion-set,improved-diffusion,worst_diffusion,blur_3.0,1000,0.609,0.550434,0.622112,0.382,0.836,0.607645,0.727,0.977286,0.988,0.0156127,0.016
Diffusion-set,improved-diffusion,worst_diffusion,jpeg_q75,1000,0.468,0.463079,0.495906,0.604,0.332,0.439261,0.364,0.565109,0.563,0.99787,1
Diffusion-set,improved-diffusion,worst_diffusion,jpeg_q45,1000,0.536,0.52092,0.552694,0.58,0.492,0.464873,0.456,0.60483,0.637,0.99794,1
Diffusion-set,improved-diffusion,worst_diffusion,jpeg_q15,1000,0.471,0.447724,0.471,0.53,0.412,0.471961,0.441,0.690014,0.897,0.999105,0.999
Diffusion-set,improved-diffusion,worst_diffusion,webp_q80,1000,0.546,0.504793,0.549014,0.412,0.68,0.510126,0.634,0.611022,0.657,0.99768,0.999
Diffusion-set,improved-diffusion,worst_diffusion,webp_q50,1000,0.581,0.543696,0.600476,0.554,0.608,0.483875,0.527,0.663119,0.745,0.997307,0.998
Diffusion-set,improved-diffusion,worst_diffusion,webp_q20,1000,0.588,0.560501,0.621202,0.558,0.618,0.47601,0.53,0.741141,0.865,0.998151,1
Diffusion-set,ldm_200,best_diffusion,clean,1000,0.899,0.99853,0.997984,0.802,0.996,0.645051,0.597,0.196274,0.141,0.458135,0.469
Diffusion-set,ldm_200,best_diffusion,blur_0.5,1000,0.934,0.988578,0.99001,0.878,0.99,0.569926,0.556,0.384779,0.36,0.0308438,0.029
Diffusion-set,ldm_200,best_diffusion,blur_1.5,1000,0.867,0.922664,0.94082,0.756,0.978,0.572434,0.611,0.840204,0.885,0.0238959,0.022
Diffusion-set,ldm_200,best_diffusion,blur_3.0,1000,0.82,0.855516,0.8899,0.82,0.82,0.464638,0.5,0.936805,0.956,0.0337901,0.031
Diffusion-set,ldm_200,best_diffusion,jpeg_q75,1000,0.66,0.746958,0.791856,0.864,0.456,0.370057,0.296,0.418257,0.321,0.967147,0.978
